Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31
0.98,0.65,0.288,0.95,1.1,2.45,1.4000000000000001,3.038,3.332,1.85,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.98,2.106,0.8,3.078,1.1,1.25,2.7440000000000007,3.038,3.332,1.85,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.234,0.288,0.342,2.156,1.25,2.7440000000000007,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.234,0.8,0.342,2.156,1.25,2.7440000000000007,1.55,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.234,0.8,0.95,1.1,1.25,2.7440000000000007,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.65,0.288,0.95,1.1,2.45,1.4000000000000001,3.038,3.332,1.85,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.98,0.234,0.288,1.862,1.1,2.45,1.4000000000000001,3.038,3.332,1.85,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.98,2.106,0.8,0.342,1.1,1.25,2.7440000000000007,3.038,3.332,1.85,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.5,0.234,0.8,3.078,2.156,1.25,2.7440000000000007,3.038,3.332,1.85,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.5,0.234,0.8,3.078,2.156,1.25,2.7440000000000007,1.55,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.234,0.8,0.95,3.564,1.25,2.7440000000000007,1.55,3.332,3.626,2.0,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.65,0.8,0.95,1.1,2.45,1.4000000000000001,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
1.62,0.65,0.288,0.95,1.1,2.45,1.4000000000000001,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.98,2.106,0.288,1.862,1.1,2.45,1.4000000000000001,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.98,2.106,3.872,4.598,1.1,4.05,1.4000000000000001,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.98,0.234,0.8,0.342,2.156,1.25,2.7440000000000007,3.038,3.332,1.85,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.5,0.234,0.288,0.342,2.156,1.25,2.7440000000000007,1.55,3.332,1.85,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,6.86,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.234,0.288,0.342,2.156,1.25,2.7440000000000007,1.55,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,6.86,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.65,0.288,0.95,3.564,1.25,2.7440000000000007,3.038,3.332,3.626,2.0,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,6.86,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.65,0.288,0.95,1.1,2.45,1.4000000000000001,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,6.86,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
1.62,0.65,0.288,0.95,1.1,2.45,1.4000000000000001,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,5.39,5.683999999999999,5.978,6.272,6.566,6.86,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
